Group               Total_bases         Tag_count           Tags/Kb
CDS_Exons           37568454            16663418            443.55
5'UTR_Exons         41438250            2608315             62.94
3'UTR_Exons         53952753            5234002             97.01
Introns             1105253088          1547378             1.40
TSS_up_1kb          25691519            21831               0.85
TSS_up_5kb          116205471           54751               0.47
TSS_up_10kb         209873182           74286               0.35
TES_down_1kb        28222917            126013              4.46
TES_down_5kb        121418918           199208              1.64
TES_down_10kb       214350577           238334              1.11
