Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Serratia sp. CP51G3 16S ribosomal RNA gene, partial sequence",Serratia sp. CP51G3,100,472,20%,6e-16,98.25,1437,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM878733.1?report=genbank&log$=nucltop&blast_rank=1&RID=4BMC37FV013"",""KM878733.1"")"
"Enterobacter aerogenes strain MCF67C3 16S ribosomal RNA gene, partial sequence",Klebsiella aerogenes,100,562,23%,6e-16,98.25,1439,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM886370.1?report=genbank&log$=nucltop&blast_rank=2&RID=4BMC37FV013"",""KM886370.1"")"
"Uncultured bacterium clone nbw229d12c1 16S ribosomal RNA gene, partial sequence",uncultured bacterium,100,749,31%,6e-16,98.25,1365,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KF065303.1?report=genbank&log$=nucltop&blast_rank=3&RID=4BMC37FV013"",""KF065303.1"")"
"Uncultured Cobetia sp. clone DVPSW40 16S ribosomal RNA gene, partial sequence",uncultured Cobetia sp.,100,263,12%,6e-16,98.25,1202,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KF756199.1?report=genbank&log$=nucltop&blast_rank=4&RID=4BMC37FV013"",""KF756199.1"")"
"Enterobacter sp. R29 16S ribosomal RNA gene, partial sequence",Enterobacter sp. R29,100,656,27%,6e-16,98.25,1465,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN391536.1?report=genbank&log$=nucltop&blast_rank=5&RID=4BMC37FV013"",""JN391536.1"")"
"Uncultured bacterium clone ncd1372e06c1 16S ribosomal RNA gene, partial sequence",uncultured bacterium,100,472,20%,6e-16,98.25,1361,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JF120166.1?report=genbank&log$=nucltop&blast_rank=6&RID=4BMC37FV013"",""JF120166.1"")"
"Uncultured gamma proteobacterium clone 344AD 16S ribosomal RNA gene, partial sequence",uncultured Gammaproteobacteria bacterium,100,100,4%,6e-16,95.24,927,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/FJ215483.1?report=genbank&log$=nucltop&blast_rank=7&RID=4BMC37FV013"",""FJ215483.1"")"
"Uncultured bacterium clone aab17c03 16S ribosomal RNA gene, partial sequence",uncultured bacterium,100,807,34%,6e-16,98.25,1456,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/DQ816375.1?report=genbank&log$=nucltop&blast_rank=8&RID=4BMC37FV013"",""DQ816375.1"")"
"Uncultured bacterium isolate JH10_C57 16S ribosomal RNA gene, partial sequence",uncultured bacterium,100,338,16%,6e-16,98.25,941,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AY568811.1?report=genbank&log$=nucltop&blast_rank=9&RID=4BMC37FV013"",""AY568811.1"")"
"Citrobacter freundii strain 6.9:552E 16S ribosomal RNA gene, partial sequence",Citrobacter freundii,99.0,740,32%,2e-15,96.67,1421,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT533243.1?report=genbank&log$=nucltop&blast_rank=10&RID=4BMC37FV013"",""MT533243.1"")"
"Citrobacter freundii strain 6.9:551E 16S ribosomal RNA gene, partial sequence",Citrobacter freundii,99.0,742,31%,2e-15,96.67,1408,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT533242.1?report=genbank&log$=nucltop&blast_rank=11&RID=4BMC37FV013"",""MT533242.1"")"
"Pantoea sp. strain SU_SF_02 16S ribosomal RNA gene, partial sequence",Pantoea sp.,99.0,99.0,4%,2e-15,96.67,765,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT435116.1?report=genbank&log$=nucltop&blast_rank=12&RID=4BMC37FV013"",""MT435116.1"")"
"Citrobacter sp. strain Soil_DNRA_Lac_52 16S ribosomal RNA gene, partial sequence",Citrobacter sp.,99.0,284,11%,2e-15,96.67,977,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT426135.1?report=genbank&log$=nucltop&blast_rank=13&RID=4BMC37FV013"",""MT426135.1"")"
"Citrobacter freundii strain SFEMB1 16S ribosomal RNA gene, partial sequence",Citrobacter freundii,99.0,284,11%,2e-15,96.67,477,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT422241.1?report=genbank&log$=nucltop&blast_rank=14&RID=4BMC37FV013"",""MT422241.1"")"
"Citrobacter freundii strain TM4 16S ribosomal RNA gene, partial sequence",Citrobacter freundii,99.0,654,27%,2e-15,96.67,1427,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT356130.1?report=genbank&log$=nucltop&blast_rank=15&RID=4BMC37FV013"",""MT356130.1"")"
"Citrobacter farmeri strain TM3 16S ribosomal RNA gene, partial sequence",Citrobacter farmeri,99.0,734,30%,2e-15,96.67,1472,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT356129.1?report=genbank&log$=nucltop&blast_rank=16&RID=4BMC37FV013"",""MT356129.1"")"
"Citrobacter freundii strain TM2 16S ribosomal RNA gene, partial sequence",Citrobacter freundii,99.0,654,27%,2e-15,96.67,1417,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT356128.1?report=genbank&log$=nucltop&blast_rank=17&RID=4BMC37FV013"",""MT356128.1"")"
"Enterobacter sp. strain SZ36 16S ribosomal RNA gene, partial sequence",Enterobacter sp.,99.0,280,12%,2e-15,96.67,1060,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT355715.1?report=genbank&log$=nucltop&blast_rank=18&RID=4BMC37FV013"",""MT355715.1"")"
"Klebsiella aerogenes strain AAK_21 16S ribosomal RNA gene, partial sequence",Klebsiella aerogenes,99.0,99.0,4%,2e-15,96.67,899,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT111634.1?report=genbank&log$=nucltop&blast_rank=19&RID=4BMC37FV013"",""MT111634.1"")"
"Klebsiella aerogenes strain AAK_20 16S ribosomal RNA gene, partial sequence",Klebsiella aerogenes,99.0,99.0,4%,2e-15,96.67,681,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT111633.1?report=genbank&log$=nucltop&blast_rank=20&RID=4BMC37FV013"",""MT111633.1"")"
"Citrobacter freundii strain AAK_18 16S ribosomal RNA gene, partial sequence",Citrobacter freundii,99.0,272,11%,2e-15,96.67,807,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT111631.1?report=genbank&log$=nucltop&blast_rank=21&RID=4BMC37FV013"",""MT111631.1"")"
"Klebsiella oxytoca strain UIS0439 16S ribosomal RNA gene, partial sequence",Klebsiella oxytoca,99.0,272,11%,2e-15,96.67,941,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT081673.1?report=genbank&log$=nucltop&blast_rank=22&RID=4BMC37FV013"",""MT081673.1"")"
"Enterobacter cloacae strain UIS0543 16S ribosomal RNA gene, partial sequence",Enterobacter cloacae,99.0,99.0,4%,2e-15,96.67,946,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT081653.1?report=genbank&log$=nucltop&blast_rank=23&RID=4BMC37FV013"",""MT081653.1"")"
"Citrobacter sp. strain MS5 16S ribosomal RNA gene, partial sequence",Citrobacter sp.,99.0,562,24%,2e-15,96.67,1250,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT044189.1?report=genbank&log$=nucltop&blast_rank=24&RID=4BMC37FV013"",""MT044189.1"")"
"Gibbsiella quercinecans strain Gq63 16S ribosomal RNA gene, partial sequence",Gibbsiella quercinecans,99.0,470,20%,2e-15,96.67,1430,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MN822730.1?report=genbank&log$=nucltop&blast_rank=25&RID=4BMC37FV013"",""MN822730.1"")"
"Gibbsiella quercinecans strain Gq60 16S ribosomal RNA gene, partial sequence",Gibbsiella quercinecans,99.0,470,20%,2e-15,96.67,1410,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MN822729.1?report=genbank&log$=nucltop&blast_rank=26&RID=4BMC37FV013"",""MN822729.1"")"
"Enterobacteriaceae bacterium strain Lac1 16S ribosomal RNA gene, partial sequence",Enterobacteriaceae bacterium,99.0,562,24%,2e-15,96.67,1396,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK955364.1?report=genbank&log$=nucltop&blast_rank=27&RID=4BMC37FV013"",""MK955364.1"")"
"Citrobacter freundii strain Huda3 16S ribosomal RNA gene, partial sequence",Citrobacter freundii,99.0,284,11%,2e-15,96.67,425,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MN340026.1?report=genbank&log$=nucltop&blast_rank=28&RID=4BMC37FV013"",""MN340026.1"")"
"Citrobacter freundii strain HK65 16S ribosomal RNA gene, partial sequence",Citrobacter freundii,99.0,562,24%,2e-15,96.67,1249,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MN327108.1?report=genbank&log$=nucltop&blast_rank=29&RID=4BMC37FV013"",""MN327108.1"")"
"Citrobacter sp. strain HK55 16S ribosomal RNA gene, partial sequence",Citrobacter sp.,99.0,562,24%,2e-15,96.67,1250,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MN327107.1?report=genbank&log$=nucltop&blast_rank=30&RID=4BMC37FV013"",""MN327107.1"")"
"Citrobacter sp. strain SH92 16S ribosomal RNA gene, partial sequence",Citrobacter sp.,99.0,562,24%,2e-15,96.67,1250,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MN267578.1?report=genbank&log$=nucltop&blast_rank=31&RID=4BMC37FV013"",""MN267578.1"")"
"Citrobacter sp. strain SH60 16S ribosomal RNA gene, partial sequence",Citrobacter sp.,99.0,562,24%,2e-15,96.67,1250,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MN267572.1?report=genbank&log$=nucltop&blast_rank=32&RID=4BMC37FV013"",""MN267572.1"")"
"Citrobacter sp. strain SH56 16S ribosomal RNA gene, partial sequence",Citrobacter sp.,99.0,562,24%,2e-15,96.67,1250,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MN267571.1?report=genbank&log$=nucltop&blast_rank=33&RID=4BMC37FV013"",""MN267571.1"")"
"Raoultella ornithinolytica strain DP3LA179 16S ribosomal RNA gene, partial sequence",Raoultella ornithinolytica,99.0,547,24%,2e-15,96.67,1214,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MH972192.1?report=genbank&log$=nucltop&blast_rank=34&RID=4BMC37FV013"",""MH972192.1"")"
"Bacterium strain BS1814 16S ribosomal RNA gene, partial sequence",bacterium,99.0,747,31%,2e-15,96.67,1440,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK825002.1?report=genbank&log$=nucltop&blast_rank=35&RID=4BMC37FV013"",""MK825002.1"")"
"Citrobacter freundii strain NCTC9750 genome assembly, chromosome: 1",Citrobacter freundii,99.0,7398,39%,2e-15,96.67,4960737,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LR134118.1?report=genbank&log$=nucltop&blast_rank=36&RID=4BMC37FV013"",""LR134118.1"")"
"Enterobacter sp. strain 090 16S ribosomal RNA gene, partial sequence",Enterobacter sp.,99.0,747,31%,2e-15,96.67,1392,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK235209.1?report=genbank&log$=nucltop&blast_rank=37&RID=4BMC37FV013"",""MK235209.1"")"
"Enterobacter sp. strain 029 16S ribosomal RNA gene, partial sequence",Enterobacter sp.,99.0,747,31%,2e-15,96.67,1392,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK235202.1?report=genbank&log$=nucltop&blast_rank=38&RID=4BMC37FV013"",""MK235202.1"")"
"Citrobacter freundii strain NRNA7 16S ribosomal RNA gene, partial sequence",Citrobacter freundii,99.0,839,35%,2e-15,96.67,1465,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MH917927.1?report=genbank&log$=nucltop&blast_rank=39&RID=4BMC37FV013"",""MH917927.1"")"
"Serratia marcescens strain AS75 16S ribosomal RNA gene, partial sequence",Serratia marcescens,99.0,557,24%,2e-15,96.67,1439,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK411553.1?report=genbank&log$=nucltop&blast_rank=40&RID=4BMC37FV013"",""MK411553.1"")"
"Klebsiella sp. strain GIg14 16S ribosomal RNA gene, partial sequence",Klebsiella sp.,99.0,839,35%,2e-15,96.67,1467,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK312597.1?report=genbank&log$=nucltop&blast_rank=41&RID=4BMC37FV013"",""MK312597.1"")"
"Enterobacteriaceae bacterium strain ENTSF 31-1 16S ribosomal RNA gene, partial sequence",Enterobacteriaceae bacterium,99.0,284,11%,2e-15,96.67,482,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MF593873.1?report=genbank&log$=nucltop&blast_rank=42&RID=4BMC37FV013"",""MF593873.1"")"
"Enterobacteriaceae bacterium strain ENTSF 2-1 16S ribosomal RNA gene, partial sequence",Enterobacteriaceae bacterium,99.0,284,11%,2e-15,96.67,476,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MF593861.1?report=genbank&log$=nucltop&blast_rank=43&RID=4BMC37FV013"",""MF593861.1"")"
"Citrobacter sp. strain ASI-3 16S ribosomal RNA gene, partial sequence",Citrobacter sp.,99.0,826,35%,2e-15,96.67,1394,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MH109702.1?report=genbank&log$=nucltop&blast_rank=44&RID=4BMC37FV013"",""MH109702.1"")"
